,Description,Sentiment,IsRelevant,ID,tfVector
69,cn coronavirus covid group mum live group needs shielded weeks months mean staying hope still get online shopping need,Positive,1.0,70.0,"[{u'saying': 1, u'stores': 1, u'people': 1, u'go': 1, u'necessities': 1, u'anymore': 1, u'basic': 1, u'panic': 1, u'buy': 1, u'food': 1, u'bs': 1, u'nothing': 1, u'news': 1, u'sound': 1, u'kind': 1, u'word': 2, u'like': 2, u'many': 1, u'covid': 1, u'making': 1, u'makes': 1, u'think': 1, u'left': 1}]"
70,kind like saying word makes sound like word anymore many people think covid news bs making go stores panic buy food basic necessities nothing left,Neutral,0.0,71.0,"[{u'shopping': 1, u'covid': 1, u'hi': 1, u'thanks': 1, u'online': 1, u'making': 1}]"
71,hi covid thanks making online shopping,Positive,1.0,72.0,"[{u'covid': 2, u'gt': 2, u'coronavid': 1, u'jhalakbollywood': 1, u'mumbai': 1, u'sends': 1, u'seafood': 1, u'jhalaktollywood': 1, u'coronavirusoutbreak': 1, u'corona': 1, u'skyrocketing': 1, u'food': 1, u'coronavirus': 1, u'coronavirusupdates': 1, u'sea': 1, u'prices': 1, u'coronavirusreachesdelhi': 1, u'jhalakkollywood': 1, u'scare': 1}]"
72,corona scare sends sea food prices skyrocketing mumbai gt gt seafood coronavirus coronavirusoutbreak coronavirusreachesdelhi coronavid coronavirusupdates covid covid jhalakbollywood jhalakkollywood jhalaktollywood,Neutral,0.0,73.0,"[{u'loan': 2, u'halting': 1, u'economic': 1, u'punitive': 1, u'would': 1, u'addition': 1, u'much': 1, u'needed': 1, u'unable': 1, u'collections': 1, u'interest': 1, u'relief': 1, u'hardship': 1, u'immediate': 1, u'pausing': 1, u'student': 2, u'amp': 2, u'work': 1, u'facing': 1, u'provide': 1, u'individuals': 1, u'payments': 1, u'stopping': 1, u'accumulation': 1}]"
73,pausing student loan payments addition halting interest accumulation amp stopping punitive student loan collections would provide much needed immediate relief individuals unable work amp facing economic hardship,Neutral,0.0,74.0,"[{u'fda': 1, u'easily': 1, u'already': 1, u'group': 1, u'lacking': 1, u'chinese': 1, u'though': 2, u'would': 1, u'deem': 1, u'covid': 1, u'elisa': 1, u'waived': 1, u'strips': 1, u'tech': 1, u'demostrated': 1, u'test': 2, u'consumer': 2, u'side': 1, u'come': 1, u'details': 1}]"
74,consumer side tech chinese group already demostrated elisa test strips covid though details lacking consumer though fda would deem waived test come easily,Positive,1.0,75.0,"[{u'impact': 1, u'urge': 1, u'flexibility': 1, u'illness': 1, u'increased': 2, u'lost': 1, u'food': 1, u'support': 2, u'bill': 1, u'school': 1, u'due': 1, u'includes': 1, u'virus': 1, u'economic': 1, u'either': 1, u'demand': 1, u'banks': 1, u'wages': 1, u'meals': 1, u'mean': 1}]"
75,lost wages either due illness virus economic impact mean increased demand urge support bill includes support food banks flexibility school meals increased,Positive,1.0,76.0,"[{u'shop': 1, u'people': 1, u'coronavirusoutbreak': 1, u'actions': 1, u'one': 1, u'saw': 1, u'rolls': 1, u'selfish': 1, u'crap': 1, u'would': 1, u'show': 1, u'young': 1, u'tp': 1, u'id': 1, u'store': 1, u'full': 1, u'ceo': 1, u'couple': 1, u'grocery': 1, u'maybe': 1, u'well': 1, u'time': 1}]"
76,actions selfish ceo grocery store would time people shop show id saw young couple rolls tp one full crap well maybe coronavirusoutbreak,Negative,0.0,77.0,"[{u'via': 1, u'capacity': 1, u'food': 2, u'puzzle': 1, u'companies': 1, u'delivery': 3, u'may': 1, u'complex': 1, u'coronavirus': 2, u'demand': 1, u'services': 1, u'surging': 1, u'poses': 1, u'buckle': 1}]"
77,coronavirus poses complex puzzle food delivery companies delivery capacity may buckle surging demand via services food delivery coronavirus,Negative,0.0,78.0,"[{u'abou': 1, u'amigouk': 1, u'government': 1, u'items': 1, u'disgusting': 1, u'covid': 1, u'needs': 1, u'astro': 1, u'stopping': 1, u'spread': 1, u'something': 1, u'prices': 1, u'inflated': 1, u'charging': 1, u'disgraceful': 1, u'really': 1}]"
78,astro amigouk disgusting disgraceful charging inflated prices items stopping spread covid government really needs something abou,Negative,0.0,79.0,"[{u'stores': 1, u'alternatives': 1, u'result': 1, u'close': 1, u'omnichannel': 2, u'ecommerce': 1, u'physical': 1, u'curbside': 1, u'additional': 1, u'agoing': 1, u'digital': 1, u'curtail': 1, u'delivery': 1, u'pressure': 1, u'put': 1, u'hours': 1, u'grocery': 1, u'like': 1, u'covid': 2, u'retailers': 1, u'pick': 1, u'retail': 1}]"
79,retailers close physical stores curtail hours result covid agoing put additional pressure omnichannel alternatives like grocery delivery curbside pick covid ecommerce omnichannel retail digital,Positive,1.0,80.0,"[{u'seniors': 1, u'like': 1, u'la': 1, u'amid': 1, u'idea': 1, u'supermarket': 1, u'crisis': 1, u'hours': 1, u'offers': 1, u'covid': 1, u'cal': 1, u'folks': 1, u'check': 1, u'special': 1, u'habra': 1}]"
80,check folks cal like idea la habra supermarket offers special hours seniors amid covid crisis,Positive,1.0,81.0,"[{u'love': 1, u'dont': 1, u'family': 1, u'blip': 1, u'sense': 1, u'hate': 1, u'use': 1, u'panic': 1, u'head': 1, u'buy': 1, u'run': 1, u'food': 1, u'advice': 1, u'lives': 1, u'amp': 1, u'wont': 1, u'whinge': 1, u'happening': 1, u'coronavirus': 1, u'common': 1, u'time': 1, u'spend': 1}]"
81,love hate head advice amp blip lives happening whinge dont panic buy food wont run spend time family use common sense coronavirus,Positive,1.0,82.0,"[{u'suspend': 1, u'feel': 1, u'household': 1, u'sign': 1, u'fees': 1, u'open': 1, u'crisis': 2, u'debts': 1, u'please': 1, u'precipice': 1, u'interest': 1, u'economy': 1, u'holding': 1, u'free': 1, u'letter': 1, u'others': 1, u'sixty': 1, u'debt': 1, u'response': 1, u'organizations': 1, u'days': 1, u'covid': 1, u'consumer': 1}]"
82,open letter consumer debt holding organizations others precipice crisis household economy please suspend debts interest fees sixty days response covid crisis feel free sign,Negative,0.0,83.0,"[{u'still': 1, u'particularly': 1, u'family': 1, u'older': 1, u'australians': 1, u'support': 1, u'covid': 2, u'without': 1, u'mobile': 1, u'aus': 1, u'spread': 1, u'coronavirus': 1, u'news': 1, u'wanted': 1}]"
83,covid covid aus coronavirus wanted spread news older australians particularly still mobile without family support,Negative,0.0,84.0,"[{u'blues': 1, u'sadly': 1, u'hoping': 1, u'payer': 1, u'exec': 1, u'mind': 1, u'laying': 1, u'one': 1, u'heard': 1, u'stupid': 1, u'low': 1, u'surprise': 1, u'blows': 1, u'bogglingly': 1, u'nonprofit': 1, u'plan': 1}]"
84,sadly surprise heard one payer exec laying low hoping blows mind bogglingly stupid nonprofit blues plan,Negative,0.0,85.0,"[{u'sees': 1, u'back': 1, u'disciplined': 1, u'say': 1, u'yes': 1, u'keep': 1, u'saved': 1, u'worry': 1, u'pat': 1, u'coronavirus': 1, u'got': 1, u'care': 1, u'pal': 1, u'empty': 1, u'stock': 1, u'customers': 1, u'get': 1, u'frank': 1, u'bread': 1, u'older': 1, u'could': 1, u'work': 1, u'n': 1, u'beans': 1, u'store': 1, u'shelve': 1, u'retail': 1, u'comes': 1}]"
85,work retail keep stock back older customers frank comes store bread sees empty shelve say worry pal saved pat n beans could get disciplined yes care got coronavirus,Positive,1.0,86.0,"[{u'impact': 1, u'consumer': 1, u'business': 1, u'battling': 1, u'frozen': 1, u'marketing': 1, u'dive': 1, u'lengthen': 1, u'deep': 1, u'runways': 1, u'hiring': 1, u'attempts': 1, u'budgets': 1, u'slashed': 1, u'startups': 1, u'matrices': 1, u'staffing': 1, u'redrawn': 1}]"
86,attempts lengthen runways marketing budgets slashed hiring frozen staffing matrices redrawn dive deep consumer startups battling impact business,Negative,0.0,87.0,"[{u'functions': 1, u'offering': 1, u'remains': 1, u'distillery': 1, u'hosting': 1, u'events': 1, u'also': 1, u'tours': 1, u'closed': 1, u'time': 1, u'operation': 1, u'retail': 1, u'public': 1, u'store': 1}]"
87,time distillery remains operation offering public tours hosting functions events retail store also closed,Neutral,0.0,88.0,"[{u'buy': 1, u'chain': 1, u'supply': 1, u'food': 1, u'people': 1, u'please': 2, u'interrupted': 1, u'dontpanicbuy': 1, u'water': 1, u'absolutely': 1, u'completely': 1, u'products': 1, u'coronavirus': 1, u'need': 2, u'probably': 1, u'sanitizing': 1, u'hoard': 2, u'panic': 1, u'really': 1}]"
88,please hoard food water absolutely need panic buy supply chain completely interrupted please hoard sanitizing products people really need probably dontpanicbuy coronavirus,Negative,0.0,89.0,"[{u'humans': 1, u'idea': 1, u'yet': 1, u'quarantinelife': 1, u'vegetables': 1, u'system': 1, u'immune': 1, u'sanitizers': 1, u'toxic': 1, u'store': 1, u'stock': 1, u'stocked': 1, u'food': 1, u'bought': 1, u'hand': 1, u'herbs': 1, u'chemicals': 1, u'fruit': 1, u'canned': 1, u'works': 1, u'fully': 1, u'covid': 1, u'fresh': 1, u'shows': 1, u'fact': 1}]"
89,fact canned food toxic chemicals store bought hand sanitizers stock yet fresh fruit vegetables herbs fully stocked shows humans idea immune system works quarantinelife covid,Positive,1.0,90.0,"[{u'useful': 1, u'help': 1, u'forget': 1, u'really': 1, u'parents': 1, u'easy': 1, u'online': 1, u'mum': 1, u'coronavirus': 1, u'might': 1, u'dad': 1, u'shopping': 1, u'far': 1, u'offered': 1, u'great': 1, u'like': 1, u'always': 1, u'sometimes': 1, u'covid': 1, u'etc': 1, u'tech': 1, u'uk': 1, u'called': 1}]"
90,called mum dad uk great offered help online shopping etc might sometimes forget always easy far parents like tech really useful covid coronavirus,Positive,1.0,91.0,"[{u'picture': 1, u'goods': 1, u'march': 1, u'rumours': 1, u'people': 1, u'shafwan': 1, u'zaidon': 1, u'trolleys': 1, u'spread': 1, u'buying': 1, u'kajang': 1, u'seen': 1, u'today': 1, u'panic': 1, u'stocking': 1, u'hypermarket': 1}]"
91,people seen stocking goods trolleys panic buying rumours spread today hypermarket kajang march picture shafwan zaidon,Negative,0.0,92.0,"[{u'major': 1, u'criminals': 1, u'often': 1, u'advantage': 1, u'guidance': 1, u'exception': 1, u'covid': 1, u'general': 1, u'try': 1, u'see': 1, u'coronavirus': 1, u'take': 1, u'attorney': 1, u'situation': 1, u'news': 1, u'office': 1, u'events': 1}]"
92,often see major news events criminals try take advantage situation coronavirus covid exception guidance attorney general office,Negative,0.0,93.0,"[{u'supply': 1, u'within': 1, u'somehow': 1, u'go': 1, u'effected': 1, u'would': 1, u'lockdown': 1, u'people': 1, u'two': 1, u'pretty': 1, u'chains': 1, u'week': 1, u'sure': 1, u'form': 1, u'government': 1, u'supermarket': 1, u'possibly': 1, u'introduce': 1, u'eat': 1, u'counties': 1, u'dry': 1, u'rationing': 1, u'covid': 1, u'think': 1}]"
93,pretty sure within week two supermarket supply chains dry counties effected covid possibly go lockdown would government introduce form rationing people eat somehow think,Positive,1.0,94.0,"[{u'stocked': 1, u'shopping': 1, u'calm': 1, u'checkouts': 1, u'pressure': 1, u'keep': 1, u'workers': 2, u'shelves': 1, u'please': 1, u'thank': 1, u'covid': 1, u'times': 1, u'extraordinary': 1, u'remain': 1, u'moving': 1, u'supermarket': 1, u'everything': 1, u'retail': 1, u'frontline': 1, u'extreme': 1}]"
94,supermarket workers frontline covid extraordinary times retail extreme pressure shopping please remain calm thank workers everything keep shelves stocked checkouts moving,Positive,1.0,95.0,"[{u'gt': 3, u'buying': 1, u'people': 1, u'reduce': 1, u'focus': 1, u'panicking': 1, u'decisions': 1, u'issues': 1, u'positive': 1, u'create': 1, u'best': 1, u'flourish': 1, u'panic': 1, u'food': 1, u'safe': 1, u'stay': 1, u'important': 1, u'plan': 1, u'key': 1, u'opportunity': 1, u'structure': 1, u'covid': 1, u'worried': 2, u'outcome': 1}]"
95,worried covid worried people panicking plan gt panic buying food gt focus important issues gt best opportunity positive outcome create structure reduce key decisions flourish stay safe,Positive,1.0,96.0,"[{u'even': 1, u'leave': 2, u'united': 1, u'provide': 1, u'chain': 1, u'receive': 1, u'many': 1, u'employees': 2, u'paid': 1, u'supermarket': 1, u'states': 1, u'tested': 1, u'everyone': 1, u'covid': 1, u'sick': 2, u'positive': 1, u'biggest': 1, u'still': 1}]"
96,biggest supermarket chain united states employees many receive sick leave even employees tested positive covid still provide paid sick leave everyone,Positive,1.0,97.0,"[{u'protect': 1, u'mandatory': 1, u'especially': 1, u'people': 1, u'positive': 1, u'quarantine': 1, u'testing': 1, u'little': 1, u'paid': 2, u'leave': 2, u'placed': 1, u'av': 1, u'covid': 1, u'sick': 1, u'insufficient': 1, u'test': 1, u'instead': 1, u'weeks': 1, u'providing': 1, u'public': 1, u'staff': 1}]"
97,instead paid sick leave providing weeks paid leave people test positive covid placed mandatory quarantine insufficient protect staff public especially little testing av,Positive,1.0,98.0,"[{u'ago': 1, u'protect': 1, u'shopping': 2, u'stayhealthy': 1, u'consumer': 1, u'days': 1, u'reports': 1, u'necessary': 1, u'covid': 1, u'followed': 1, u'went': 1, u'pain': 1, u'grocery': 1}]"
98,followed went shopping days ago pain necessary protect grocery shopping consumer reports covid stayhealthy,Positive,1.0,99.0,"[{u'toilet': 1, u'cheese': 1, u'sweet': 1, u'county': 1, u'juice': 1, u'paper': 2, u'towels': 1, u'home': 1, u'sugar': 1, u'pictures': 1, u'montgomery': 1, u'low': 1, u'orange': 1, u'today': 1, u'flour': 1, u'took': 1, u'mac': 1, u'panicbuying': 1, u'amp': 1, u'md': 1, u'grocery': 1, u'meat': 1, u'potatoes': 2, u'coronapocolypse': 1, u'covid': 1, u'store': 1}]"
99,took pictures today home grocery store montgomery county md flour sugar sweet potatoes potatoes orange juice paper towels toilet paper low meat mac amp cheese coronapocolypse covid panicbuying,Negative,0.0,100.0,"[{u'shop': 1, u'panicbuyinguk': 1, u'grocery': 1, u'anxiety': 1, u'shopping': 1, u'deal': 1, u'panic': 1, u'buyers': 1, u'covid': 1, u'general': 1, u'morons': 1, u'swear': 1, u'swathes': 1, u'online': 1, u'coronavirus': 1, u'next': 1, u'hate': 1, u'coronavirusuk': 1}]"
